,noDA.24,noDA.26,noDA.34,noDA.60,DA.26,DA.34
B0303.11,888.5540472,411.1427862,1194.580842,438.2905934,689.8212581,318.7701274
T04B8.5,1643.114824,3187.77585,990.7585258,888.3021388,3009.411284,3066.441611
abts-1,4386.748594,2443.449081,2779.822036,1253.039726,3486.207553,2884.474717
abts-3,1090.682127,681.4075866,1434.225946,847.4398476,753.4621949,590.9995608
abts-4,806.0634647,1755.944805,1100.37013,599.5568201,1103.3006,863.4870237
cmd-1,16187.43054,18328.35915,16919.99838,11317.53925,17217.61447,21565.86201
cal-2,734.2119093,796.0475102,863.141768,1484.648891,594.1558399,530.4286042
cal-4,445.9585017,393.15254,869.6922746,658.2761787,339.1127356,230.1957185
cal-5,4407.504192,1745.646459,9616.823896,1799.33626,1709.696798,1860.640051
ncs-2,8463.343711,5827.725275,6215.873078,6291.728293,5270.272721,5802.984236
ncs-4,268.3428048,298.4139282,134.5122264,37.44638995,211.6084877,279.7031502
ncs-5,136.687585,94.54803486,345.8971335,312.9756406,71.43076123,62.19760839
cnb-1,1887.806692,2582.952483,3070.564613,1814.382187,1938.676339,2077.522121
C06G1.5,1045.250419,708.2703137,485.4625549,325.9263325,1036.502149,766.1915554
T22D1.5,186.796493,348.1319462,869.5524114,1103.621634,281.224865,499.9526702
cex-1,81.43304335,90.59882843,261.9873138,763.1836579,59.7495483,67.47154168
cex-2,950.4963785,701.194188,475.0097973,254.0317269,963.5566993,1071.017029
Y48B6A.6,575.1689824,721.4819734,324.7334879,715.5239393,778.3357851,577.0121029
F55A11.1,2009.820637,4419.347802,1454.326884,1531.209121,3549.916926,3593.618914
T04F3.4,566.0526376,496.2659952,865.9554991,663.7196757,506.1122131,449.7936317
ZK856.8,2227.298677,2454.350861,4202.883302,2938.026678,1576.786474,2576.388004
pbo-1,2369.970302,1276.370243,1920.08288,902.5281879,1134.714414,1393.371033
micu-1,1748.788186,1638.702031,2640.883713,2910.160619,1584.235299,1517.723044
calm-1,349.8778722,536.202763,575.2187457,206.3909613,331.8862848,371.322772
calu-1,6573.147687,50198.17574,2740.440955,1500.321293,29091.47281,17261.04693
calu-2,606.7956253,790.8842472,426.3116867,319.9944002,683.7600391,689.0683163
nucb-1,1953.265561,2336.608772,650.5666953,263.6826891,2480.654309,1977.669363
T04F8.6,886.5478478,474.3636132,644.3859596,208.7828787,617.9948039,882.5839298
mlc-1,30535.49443,48450.72706,70100.43283,6351.68046,38456.7546,41470.4767
mlc-2,19508.83243,42566.68759,42301.06241,23119.03188,33731.56597,39035.9165
mlc-3,40450.5558,58184.96044,70971.65784,25755.59654,48173.22321,59577.7763
mlc-4,1596.769014,2980.08773,2117.075765,2511.890571,3064.861418,2705.359538
mlc-5,2088.612297,5621.824859,2633.065802,2551.454064,4458.02772,5109.374396
K04C1.4,131.8214203,86.73255762,83.79335982,16.27236676,94.31770602,93.34655161
