"","noDA.24","noDA.26","noDA.34","noDA.60","DA.26","DA.34"
"WBGene00004196",727.0408775,271.8000079,260.5926519,141.1067493,355.8562068,251.0048858
"WBGene00004206",584.0138128,1247.674066,413.517217,525.257713,2072.616356,1688.99546
"WBGene00004210",2397.512141,9478.975059,4124.891469,1203.53795,18163.96779,14155.85512
"WBGene00004213",1406.352585,1055.212909,2455.703844,1378.555639,883.4762155,782.8017118
"WBGene00004216",988.4959592,1467.652664,209.0930139,35.6355613,1437.565348,2193.621196
"WBGene00004217",697.4201591,1487.758691,375.119797,323.1763084,2111.985561,2141.669419
"WBGene00004218",405.2944996,334.5373592,3917.555257,252.3151247,170.2046389,89.85702146
"WBGene00004219",2132.590163,8715.105512,330.8613926,82.19893782,10684.66134,5754.495054
"WBGene00004221",434.1327581,1454.705602,222.7580987,87.14613445,2388.718313,3021.331418
"WBGene00004222",1645.944072,641.1761709,3251.045193,150.2755682,158.523426,104.8833307
"WBGene00004224",851.665762,1820.489127,116.8680539,20.78138731,1191.22983,365.7480046
"WBGene00004225",925.0356103,2762.057124,4128.833389,759.7644566,9781.171433,3155.963329
"WBGene00004226",2588.61915,1186.390831,13661.1508,476.0243817,526.5815064,661.6090588
"WBGene00004227",1566.91024,406.6571222,3234.334909,680.9862163,783.2250771,283.9453663
"WBGene00004228",1647.595656,2066.252169,4209.657939,141.3941477,3312.55698,4271.552765
"WBGene00004229",337.9997466,1295.422788,109.6772415,59.06016224,1089.378226,570.9930183
"WBGene00004230",358.4764169,917.2888307,163.914778,10.78332953,1689.30835,3622.560539
"WBGene00004231",130.9750591,222.6660857,41.02026417,15.78078541,383.7563542,480.5196599
"WBGene00004232",1178.031194,5591.900224,446.1691084,67.88660442,10852.9363,9623.672777
"WBGene00004233",196.4267982,336.245483,36.60596932,16.81263435,632.6220812,303.8512303
"WBGene00004234",306.8223379,289.6861353,1851.78367,941.6361245,490.7962421,1079.443988
"WBGene00004236",37.49001006,38.51447365,244.7013109,698.0203367,30.58887663,13.01994772
"WBGene00004238",1754.938427,1943.29036,2800.969461,939.3259268,1835.956731,1721.722318
"WBGene00004241",47.94775255,85.94554394,159.8466499,235.843294,70.26341515,123.7646117
"WBGene00004242",33.71566752,76.40250904,113.0816604,144.4299972,71.60513699,169.0654979
"WBGene00004243",26.34086241,46.26642523,112.326702,130.8997895,63.9039099,137.0996617
"WBGene00004244",676.6675847,708.824408,1211.546491,1422.318886,663.5152344,790.2825627
"WBGene00004248",1777.690346,1553.060001,2324.620042,3333.203061,1814.191953,2237.760349
"WBGene00004249",410.8070919,620.9272053,435.9728748,868.2558412,470.2965688,355.0063156
"WBGene00004256",1064.488541,513.16926,1145.77727,234.8114451,553.4477323,477.9191648
"WBGene00004257",878.2438561,157.8006367,51.57587233,81.2142021,208.4093166,284.12452
"WBGene00004258",6022.26948,7687.350115,2820.3863,2587.728684,7002.663613,6850.594406
"WBGene00004259",3817.77044,6070.174106,2848.444812,5450.659818,16732.58984,14338.18375
"WBGene00004264",1781.555468,14183.35523,347.3147971,67.93686367,30133.67593,8404.282945
"WBGene00004266",7577.420627,10930.76589,7776.021002,8796.896321,9714.607136,13109.10224
"WBGene00004267",1450.825213,1186.856646,2004.480135,707.1545493,979.0844734,574.0025606
"WBGene00004269",817.0313278,956.5797741,581.641392,608.5795802,965.2048117,1237.102323
"WBGene00004270",793.4637656,2683.724355,418.3032909,525.4885601,2036.550424,2318.156292
"WBGene00004272",1643.258536,2334.651841,2193.591682,4520.306623,2123.292576,2468.736489
"WBGene00004275",16.67270943,31.51601162,372.1892044,40.1382898,12.02785019,5.281067399
"WBGene00004276",1156.942654,2158.552124,1479.535455,1934.164059,1722.941403,1733.75135
"WBGene00004278",590.7386254,1026.585578,1152.802205,777.4283521,769.5226105,888.2431052
"WBGene00004279",269.8616473,386.8793393,389.6282782,846.3091303,351.270839,325.9715466
"WBGene00004282",541.242137,1028.267222,351.5896303,225.5436808,755.409651,735.7877636
"WBGene00004283",470.4291968,996.6065466,443.7129446,555.6413762,812.0090841,1035.596933
"WBGene00004296",1061.926969,282.3453392,419.2463248,456.813538,467.8641177,816.8674539
"WBGene00004302",15755.35938,18329.86088,12532.80533,13247.33341,18657.89517,25690.43392
"WBGene00004303",2557.764273,1794.42748,1560.40641,1638.043601,1742.630586,1885.428673
"WBGene00004305",2325.812527,2187.165318,1553.48794,1283.01982,1951.988398,2217.439105
"WBGene00004308",1131.474207,1072.601399,1757.745664,1252.780565,828.3551003,874.6147556
"WBGene00004309",145.4490402,348.3930939,272.9263022,45.82993702,253.1404755,698.2261583
"WBGene00004311",1953.346196,3939.039184,928.8571537,1539.25808,2335.845683,2811.068098
"WBGene00004315",3216.247161,917.1406202,1321.933444,1040.943038,1594.703282,1878.578027
"WBGene00004317",519.5063444,478.9728059,680.0977096,811.3912784,493.70206,346.6443648
"WBGene00004320",1726.082069,3430.412045,2160.695671,3083.961307,3020.921997,4339.169317
"WBGene00004321",1233.588519,639.1803725,951.2099609,1205.287431,573.0451468,486.9545254
"WBGene00004323",1244.900027,540.2931349,632.1395422,507.2734631,645.8589334,722.7186779
"WBGene00004333",719.9606254,634.0594519,1122.222696,1623.475252,761.3783965,831.9222996
"WBGene00004334",83.45048711,30.04785241,2.763711476,2.891363816,70.9111577,55.62679436
"WBGene00004336",4735.399161,9015.128882,7313.446099,6835.720921,6067.114763,6055.962141
"WBGene00004338",608.8621612,1113.385183,943.9281002,1328.295332,1168.854737,1574.781867
"WBGene00004346",125.0661645,136.150584,309.1631031,208.5802688,145.8474809,98.98592645
"WBGene00004348",449.6609884,569.1234082,190.7967335,215.942978,499.0195393,407.6382364
"WBGene00004350",725.6163796,536.9086144,412.7748639,327.3445253,598.0115628,637.3535665
"WBGene00004357",11976.9258,7909.952506,10384.15499,7067.895136,7654.816158,8743.423378
"WBGene00004359",590.7010525,284.1840847,678.0645492,254.6159617,137.4543888,149.7113632
"WBGene00004363",835.6534649,588.7017959,561.3733712,212.611865,564.3463686,442.7071593
"WBGene00004364",2083.912333,1736.673406,2819.104483,1692.118737,1556.979723,1305.248075
"WBGene00004368",257.7262665,275.0116122,381.1458553,582.9562338,211.1774815,205.9473603
"WBGene00004370",681.261685,381.0949338,438.3137836,245.2947922,375.1528684,245.3009035
"WBGene00004373",4319.272831,3961.091502,1198.481285,1568.119963,5484.14915,5394.922684
"WBGene00004380",285.7409274,369.5649428,759.1706327,1439.827208,345.2555045,522.1732645
"WBGene00004381",858.4278728,1568.251595,1358.509028,1171.26638,1314.446293,1631.712276
"WBGene00004382",820.4315819,919.8352005,683.2439981,1424.236525,757.0944863,726.0143858
"WBGene00004385",866.9172637,1339.903426,1071.147065,1241.168074,1220.038227,1939.933736
"WBGene00004387",3256.072756,4154.535617,2665.56643,2987.973,3933.07248,5639.453429
"WBGene00004388",1148.08274,1460.396624,1221.028594,2013.521969,1580.633664,3116.239939
"WBGene00004390",2568.30923,2359.105841,1510.396298,2112.2349,2447.176528,3127.715715
"WBGene00004391",1842.106484,3399.218981,1675.872017,1912.624218,3892.807006,3363.208772
"WBGene00004392",1825.830902,3635.47951,1170.474199,1036.126169,6128.485567,2473.253406
"WBGene00004393",65.90124819,97.68022609,228.8105724,185.7964539,86.31396421,41.1522145
"WBGene00004395",406.5983244,420.4493552,100.081088,132.9179472,530.8170655,472.5235512
"WBGene00004397",3501.296408,10276.00498,108.2313552,14.3123334,32586.71231,56225.67258
"WBGene00004398",3760.504494,98682.09022,17050.03255,1865.186217,64037.24649,76623.94072
"WBGene00004400",380.725895,347.5090305,250.9584817,131.5908348,313.2415942,195.22034
"WBGene00004405",2303.528766,2587.139929,1483.755851,1707.720585,2409.966583,1551.129645
"WBGene00004408",82797.03055,90705.00085,66876.37535,182828.5076,84873.94268,157759.7735
"WBGene00004409",48168.01845,54519.49823,29914.87607,81390.1332,49049.65583,114375.4906
"WBGene00004410",25257.72456,42247.63976,17405.89872,47268.67872,37853.63832,87610.82859
"WBGene00004412",51423.28653,56096.6317,39258.841,121982.9102,53667.90293,120266.8914
"WBGene00004413",30727.35564,59790.28694,34266.15486,98906.84513,60116.72546,126869.1115
"WBGene00004414",103019.3187,111287.9692,71956.56848,220119.7265,111553.6961,171210.948
"WBGene00004415",77728.96677,75692.18598,53752.90007,158474.1222,83293.7793,173078.754
"WBGene00004416",63487.06086,75207.0849,43326.86092,125087.504,78863.47563,156919.4017
"WBGene00004417",47621.7061,48569.32314,36553.62244,101016.907,47566.19495,80501.81867
"WBGene00004418",60852.668,79808.54419,54185.16325,143655.6966,72558.38857,123924.5973
