id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00020741,1844.593736,160.134474,3529.052997,22.03805906,4.461925263,2.64E-60,1.07E-57
WBGene00015718,51.19893922,4.4468238,97.95105463,22.02719492,4.46121388,2.91E-12,1.23E-10
WBGene00011665,534.8233846,46.60279003,1023.043979,21.95241912,4.456308026,1.63E-31,2.05E-29
WBGene00004998,2753.364163,243.067436,5263.660889,21.65514631,4.436638015,4.80E-58,1.68E-55
WBGene00017483,7853.260711,699.0223768,15007.49905,21.46926843,4.424201127,1.74E-71,1.36E-68
WBGene00012791,161.1937284,14.38320133,308.0042554,21.41416562,4.42049356,1.78E-09,5.72E-08
WBGene00007264,1755.982722,157.9431503,3354.022293,21.23562995,4.408415001,1.10E-48,3.07E-46
WBGene00019029,544.9972013,49.02833029,1040.966072,21.23192991,4.408163608,1.20E-31,1.53E-29
WBGene00008511,2540.690183,228.7788541,4852.601513,21.21088302,4.406732777,5.87E-47,1.47E-44
WBGene00012346,332.1564009,30.04718886,634.265613,21.10898347,4.3997852,4.08E-20,2.98E-18
WBGene00019154,13890.63024,1262.514267,26518.74621,21.00471013,4.392640972,1.84E-71,1.40E-68
WBGene00010673,3592.695315,329.192489,6856.19814,20.82732252,4.380405479,3.63E-56,1.20E-53
WBGene00012917,2270.160861,208.6905315,4331.631191,20.75624207,4.375473362,2.56E-48,6.83E-46
WBGene00006947,8969.336989,829.7977772,17108.8762,20.6181273,4.365841396,6.76E-67,4.41E-64
WBGene00007996,1188.285548,111.2383361,2265.332761,20.36467677,4.347997011,8.04E-42,1.56E-39
WBGene00001724,5629.475105,536.1263968,10722.82381,20.00055188,4.321967904,1.45E-63,7.24E-61
WBGene00000557,3629.047889,349.6965876,6908.399191,19.75540922,4.304175826,1.11E-60,4.56E-58
WBGene00000252,150.0520124,14.55324153,285.5507834,19.6211121,4.294334909,3.89E-17,2.31E-15
WBGene00011624,788.9098772,76.88419541,1500.935559,19.52202987,4.287031164,3.13E-33,4.32E-31
WBGene00008851,6810.894405,665.0952564,12956.69355,19.4809592,4.283992809,7.38E-67,4.69E-64
WBGene00009261,2079.080407,203.9867276,3954.174087,19.38446748,4.276829198,1.79E-45,4.16E-43
WBGene00050939,1826.708095,180.8006584,3472.615531,19.20687437,4.263550856,4.18E-48,1.10E-45
WBGene00007754,192.512368,19.13225772,365.8924784,19.12437537,4.257340723,3.35E-10,1.16E-08
WBGene00019272,8454.782013,843.2325932,16066.33143,19.05326189,4.251966101,7.44E-68,5.30E-65
WBGene00022611,1723.097867,172.4813077,3273.714425,18.98011135,4.246416551,6.60E-41,1.22E-38
WBGene00015300,2622.852891,262.8269225,4982.878859,18.95878402,4.24479453,9.23E-55,2.97E-52
WBGene00017212,143.1561294,14.34919329,271.9630655,18.95319549,4.244369201,1.99E-13,9.33E-12
WBGene00020626,1145.18202,115.1827189,2175.181321,18.88461517,4.23913948,5.95E-37,9.32E-35
WBGene00044952,53.60643934,5.406453513,101.8064252,18.83053742,4.235002269,1.38E-09,4.52E-08
WBGene00195144,98.02764271,9.887285353,186.1680001,18.82903076,4.234886833,5.47E-06,0.000104923
WBGene00077714,85.55166012,8.640507186,162.462813,18.80246258,4.232849721,1.78E-09,5.72E-08
WBGene00013058,546.926556,55.40949765,1038.443614,18.74125661,4.228145785,7.46E-33,1.01E-30
WBGene00045168,62.0380495,6.434099306,117.6419997,18.28414423,4.192521199,7.53E-09,2.25E-07
WBGene00008727,49.73062853,5.187321139,94.27393592,18.17391547,4.183797369,8.76E-05,0.001314906
WBGene00006416,15.43191463,1.617026836,29.24680243,18.08677616,4.176863375,1.18E-06,2.57E-05
WBGene00017998,6642.404098,696.1925798,12588.61562,18.08208818,4.176489389,5.49E-60,2.15E-57
WBGene00010442,1826.865103,193.0531475,3460.677059,17.92603283,4.163984339,1.52E-44,3.33E-42
WBGene00086560,150.7096391,16.21936054,285.1999177,17.58391873,4.136184719,3.26E-31,4.03E-29
WBGene00001716,6233.809766,681.7413624,11785.87817,17.28790245,4.111690932,3.33E-66,1.91E-63
WBGene00021804,115.3139392,12.6150582,218.0128201,17.2819512,4.111194207,5.67E-06,0.000108574
WBGene00009227,148.2417507,16.25336858,280.2301328,17.24135716,4.107801436,2.74E-07,6.62E-06
WBGene00219412,145.8842757,16.00022817,275.7683232,17.23527442,4.107292364,1.27E-09,4.18E-08
WBGene00001714,3321.42013,365.9987735,6276.841487,17.1498976,4.100128057,5.24E-61,2.20E-58
WBGene00013059,41.39330709,4.563932055,78.22268212,17.13931784,4.099237785,9.49E-05,0.001413386
WBGene00017716,6027.508177,668.6205732,11386.39578,17.02968206,4.089979595,1.69E-56,5.68E-54
WBGene00004398,33898.87549,3760.504493,64037.24649,17.02889775,4.089913149,1.62E-71,1.31E-68
WBGene00009229,273.3769681,30.38342949,516.3705066,16.99513568,4.087049974,1.43E-17,8.80E-16
WBGene00000648,7.261656604,0.808513418,13.71479979,16.96298352,4.084318034,5.49E-05,0.000863767
WBGene00004264,15957.6157,1781.555468,30133.67593,16.91425076,4.080167367,1.12E-61,5.08E-59
WBGene00019956,91.7610871,10.37464228,173.1475319,16.68949418,4.060868326,4.52E-05,0.000726729
WBGene00018810,79.0834694,8.942739776,149.224199,16.68663103,4.060620804,0.000275687,0.003680259
